Batch,Seq,Original VM Name *,Original front end IP *,Original backend IP *,Original # of vCPU,Original # of Memory (GB),Original Disk Type,Original System Disk Size (GB),Original Data Disk Size (GB),Original Additional Data Disk (GB),Original Guest OS Version,Original # of NIC,Original Environment (Production/Testing),Original Security Zone,Original Site,Require Backup?,Require VM Replication?,Migration Approach,New VM Name,Functional tag,Plan,OS,Environment,Network Segment,Disk Type,System Disk Size (GB),Additional Data Disk Size (GB),Shared Disk Name,Backup Start Time,Require Backup,Retention Period,Require Offsite Backup,Require Antivirus,Require VM Replication,Require GCIS Common Service,VM Name,PNAT IP,PNAT Port,SNAT IP for Internet DMZ/ GNET DMZ/ Trusted Zone,SNAT IP for NOT connecting to GCIS Common Services,Virtual Machine IP,Virtual IP (VIP),Datastore Name,ESXi Host,Network Segement Name,"GNET IP Assignment 
Batch 4,85,EID-WCPL-PROXY14,10.104.0.102,N/A,2,4,Tier-two (SAS HDD with SSD cache),40,0,N/A,CentOS7.8,1,Production,Internet DMZ,WCDC,No,No,Replication,aplpxy14,plpxy11,M,CentOS7.8,P1,Internet DMZ,Tier-two (SAS HDD with SSD cache),40,0,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.0.102,192.168.0.105:1080,,,,,,,,풹진촑퐺
Batch 4,86,EID-WCUL-RVPXY01,10.104.0.33,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Internet DMZ,WCDC,No,No,Replication,bulrxy01,ulrxy01,M,CentOS7.8,P2,Internet DMZ,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.2.33,192.168.2.40,,,,,,,,
Batch 4,87,EID-WCUL-RVPXY02,10.104.0.34,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Internet DMZ,WCDC,No,No,Replication,bulrxy02,ulrxy01,M,CentOS7.8,P2,Internet DMZ,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.2.34,192.168.2.40,,,,,,,,
Batch 4,88,EID-WCUL-SLB01,10.104.0.35,N/A,2,4,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Internet DMZ,WCDC,No,No,Replication,bulslb01,ulslb01,M,CentOS7.8,P2,Internet DMZ,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.2.35,192.168.2.40,,,,,,,,
Batch 4,89,EID-WCUL-SLB02,10.104.0.36,N/A,2,4,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Internet DMZ,WCDC,No,No,Replication,bulslb02,ulslb01,M,CentOS7.8,P2,Internet DMZ,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.2.36,192.168.2.40,,,,,,,,
Batch 4,90,EID-WCUL-RVPXY11,10.104.37.193,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulrxy11,ulrxy11,M,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.193,192.168.8.200,,,,,,,,
Batch 4,91,EID-WCUL-RVPXY12,10.104.37.194,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulrxy12,ulrxy11,M,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.194,192.168.8.200,,,,,,,,
Batch 4,92,EID-WCUL-SLB11,10.104.37.195,N/A,2,4,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulslb11,ulslb11,M,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.195,192.168.8.200,,,,,,,,
Batch 4,93,EID-WCUL-SLB12,10.104.37.196,N/A,2,4,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulslb12,ulslb11,M,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.196,192.168.8.200,,,,,,,,
Batch 4,94,EID-WCUL-SLB13,10.104.37.55,N/A,1,4,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulslb13,ulslb13,S,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.55,192.168.8.48:3000,,,,,,,,
Batch 4,95,EID-WCUL-SLB14,10.104.37.56,N/A,1,4,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulslb14,ulslb13,S,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.56,192.168.8.48:3000,,,,,,,,
Batch 4,96,EID-WCUL-REDIS01,10.104.37.161,N/A,2,8,Tier-two (SAS HDD with SSD cache),60,74,N/A,Oracle Linux7.6,1,Production,Trust Zone,WCDC,No,No,Replication,bulrds01,ulrds01,M,Oracle Linux7.6,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),60,74,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.161,,,,,,,,,
Batch 4,97,EID-WCUL-REDIS02,10.104.37.162,N/A,2,8,Tier-two (SAS HDD with SSD cache),60,74,N/A,Oracle Linux7.6,1,Production,Trust Zone,WCDC,No,No,Replication,bulrds02,ulrds01,M,Oracle Linux7.6,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),60,74,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.162,,,,,,,,,
Batch 4,98,EID-WCUL-REDIS03,10.104.37.163,N/A,2,8,Tier-two (SAS HDD with SSD cache),60,74,N/A,Oracle Linux7.6,1,Production,Trust Zone,WCDC,No,No,Replication,bulrds03,ulrds01,M,Oracle Linux7.6,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),60,74,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.163,,,,,,,,,
Batch 4,99,EID-WCUL-MYSQL01,10.104.37.164,N/A,2,8,Tier-two (SAS HDD with SSD cache),60,100,N/A,Oracle Linux7.6,1,Production,Trust Zone,WCDC,No,No,Replication,bulmsq01,ulmsq01,M,Oracle Linux7.6,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),60,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.164,192.168.8.169,,,,,,,,
Batch 4,100,EID-WCUL-MYSQL02,10.104.37.165,N/A,2,8,Tier-two (SAS HDD with SSD cache),60,100,N/A,Oracle Linux7.6,1,Production,Trust Zone,WCDC,No,No,Replication,bulmsq02,ulmsq01,M,Oracle Linux7.6,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),60,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.165,192.168.8.169,,,,,,,,
Batch 4,101,EID-WCUL-REDIS11,10.104.37.225,N/A,2,8,Tier-two (SAS HDD with SSD cache),60,74,N/A,Oracle Linux7.6,1,Production,Trust Zone,WCDC,No,No,Replication,bulrds11,ulrds11,M,Oracle Linux7.6,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),60,10+32+32,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.225,,,,,,,,,
Batch 4,102,EID-WCUL-REDIS12,10.104.37.226,N/A,2,8,Tier-two (SAS HDD with SSD cache),60,74,N/A,Oracle Linux7.6,1,Production,Trust Zone,WCDC,No,No,Replication,bulrds12,ulrds11,M,Oracle Linux7.6,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),60,10+32+32,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.226,,,,,,,,,
Batch 4,103,EID-WCUL-REDIS13,10.104.37.227,N/A,2,8,Tier-two (SAS HDD with SSD cache),60,74,N/A,Oracle Linux7.6,1,Production,Trust Zone,WCDC,No,No,Replication,bulrds13,ulrds11,M,Oracle Linux7.6,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),60,10+32+32,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.227,,,,,,,,,
Batch 4,104,EID-WCUL-MYSQL11,10.104.37.228,N/A,4,16,Tier-two (SAS HDD with SSD cache),60,200,N/A,Oracle Linux7.6,1,Production,Trust Zone,WCDC,No,No,Replication,bulmsq11,ulmsq11,L,Oracle Linux7.6,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),60,200,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.228,192.168.8.236,,,,,,,,
Batch 4,105,EID-WCUL-MYSQL12,10.104.37.229,N/A,4,16,Tier-two (SAS HDD with SSD cache),60,200,N/A,Oracle Linux7.6,1,Production,Trust Zone,WCDC,No,No,Replication,bulmsq12,ulmsq11,L,Oracle Linux7.6,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),60,200,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.229,192.168.8.236,,,,,,,,
Batch 4,106,EID-WCUL-CONTR01,10.104.37.129,N/A,4,16,Tier-two (SAS HDD with SSD cache),40,100,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulctr01,ulctr01,L,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.129,,,,,,,,,
Batch 4,107,EID-WCUL-CONTR02,10.104.37.130,N/A,4,16,Tier-two (SAS HDD with SSD cache),40,100,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulctr02,ulctr01,L,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.130,,,,,,,,,
Batch 4,108,EID-WCUL-CONTR03,10.104.37.131,N/A,4,16,Tier-two (SAS HDD with SSD cache),40,100,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulctr03,ulctr01,L,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.131,,,,,,,,,
Batch 4,109,EID-WCUL-CONTR04,10.104.37.132,N/A,4,16,Tier-two (SAS HDD with SSD cache),40,100,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulctr04,ulctr01,L,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.132,,,,,,,,,
Batch 4,110,EID-WCUL-RKTMQ01,10.104.37.141,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulrmq01,ulrmq01,M,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.141,,,,,,,,,
Batch 4,111,EID-WCUL-RKTMQ02,10.104.37.142,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulrmq02,ulrmq01,M,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.142,,,,,,,,,
Batch 4,112,EID-WCUL-CONTR11,10.104.37.1,N/A,4,16,Tier-two (SAS HDD with SSD cache),40,100,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulctr11,ulctr11,L,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.21,,,,,,,,,
Batch 4,113,EID-WCUL-CONTR12,10.104.37.2,N/A,4,16,Tier-two (SAS HDD with SSD cache),40,100,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulctr12,ulctr11,L,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.22,,,,,,,,,
Batch 4,114,EID-WCUL-CONTR13,10.104.37.3,N/A,4,16,Tier-two (SAS HDD with SSD cache),40,100,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulctr13,ulctr11,L,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.23,,,,,,,,,
Batch 4,115,EID-WCUL-CONTR14,10.104.37.4,N/A,4,16,Tier-two (SAS HDD with SSD cache),40,100,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulctr14,ulctr11,L,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.24,,,,,,,,,
Batch 4,116,EID-WCUL-CONTR15,10.104.37.5,N/A,4,16,Tier-two (SAS HDD with SSD cache),40,100,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulctr15,ulctr11,L,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.25,,,,,,,,,
Batch 4,117,EID-WCUL-CONTR16,10.104.37.6,N/A,4,16,Tier-two (SAS HDD with SSD cache),40,100,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulctr16,ulctr11,L,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.6,,,,,,,,,
Batch 4,118,EID-WCUL-IDEAS11,10.104.37.13,N/A,2,4,Tier-two (SAS HDD with SSD cache),40,100,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulids11,ulids11,M,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.13,192.168.8.63,,,,,,,,
Batch 4,119,EID-WCUL-IDEAS23,10.104.37.61,N/A,2,4,Tier-two (SAS HDD with SSD cache),40,100,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulids23,ulids23,M,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.61,192.168.8.64,,,,,,,,
Batch 4,120,EID-WCUL-RKTMQ11,10.104.37.57,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulrmq11,ulrmq11,M,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.57,,,,,,,,,
Batch 4,121,EID-WCUL-RKTMQ12,10.104.37.58,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulrmq12,ulrmq11,M,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.58,,,,,,,,,
Batch 4,122,EID-WCUL-CASLB11,10.104.37.26,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulclb11,ulclb11,M,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.26,"192.168.8.50
192.168.8.51",,,,,,,,
Batch 4,123,EID-WCUL-CASLB12,10.104.37.27,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Trust Zone,WCDC,No,No,Replication,bulclb12,ulclb11,M,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.27,"192.168.8.50
192.168.8.51",,,,,,,,
Batch 4,124,EID-WCPL-DNS12,10.104.0.98,N/A,2,4,Tier-two (SAS HDD with SSD cache),40,50,N/A,CentOS7.8,1,Production,Internet DMZ,WCDC,No,No,Replication,bpldns12,pldns12,M,CentOS7.8,P2,Internet DMZ,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.2.98,,,,,,,,,
Batch 4,125,EID-WCPL-PROXY12,10.104.0.100,N/A,2,4,Tier-two (SAS HDD with SSD cache),40,0,N/A,CentOS7.8,1,Production,Internet DMZ,WCDC,No,No,Replication,bplpxy12,plpxy11,M,CentOS7.8,P2,Internet DMZ,Tier-two (SAS HDD with SSD cache),40,0,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.2.100,,,,,,,,,
Batch 4,126,EID-WCPL-PROXY13,10.104.0.101,N/A,2,4,Tier-two (SAS HDD with SSD cache),40,0,N/A,CentOS7.8,1,Production,Internet DMZ,WCDC,No,No,Replication,bplpxy13,plpxy11,M,CentOS7.8,P2,Internet DMZ,Tier-two (SAS HDD with SSD cache),40,0,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.2.101,192.168.2.105:1080,,,,,,,,
Batch 4,127,EID-WCPL-PROXY14,10.104.0.102,N/A,2,4,Tier-two (SAS HDD with SSD cache),40,0,N/A,CentOS7.8,1,Production,Internet DMZ,WCDC,No,No,Replication,bplpxy14,plpxy11,M,CentOS7.8,P2,Internet DMZ,Tier-two (SAS HDD with SSD cache),40,0,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.2.102,192.168.2.105:1080,,,,,,,,
Batch 4,128,EID-WCUL-CASDR12,10.104.37.37,N/A,4,8,Tier-two (SAS HDD with SSD cache),40,512,N/A,CentOS7.8,1,Production,Trust Zone,TWDC,No,No,Replication,bulcdr13,ulcdr11,L,CentOS7.8,P2,Trust Zone,Tier-two (SAS HDD with SSD cache),40,512,N/A,N/A,No,N/A,N/A,No,No,No,,,,,,192.168.8.50,192.168.8.26:443,,,,,,,,
